id,name,address,city,state,country,postcode,lat,lng,phone,website,email,capacity_min,capacity_max,style,event_types,google_place_id,yelp_business_id,foursquare_id,osm_id,event_friendly_score,data_quality_score,source_flags,created_at,updated_at,rating,user_ratings_total
12,Brookline Arts Center,"86 Monmouth St, Brookline, MA 02446, USA",Brookline,MA,,02446,42.3453284,-71.1068576,(617) 566-5715,https://brooklineartscenter.org/,,,,,,ChIJ-09nQvJ544kRwqBbhQBrhmg,,,node/367777811,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4,23
13,Annisquam Exchange and Art Gallery,"32 Leonard St, Gloucester, MA 01930, USA",Gloucester,MA,,01930,42.6550948,-70.6781009,(978) 281-0358,https://annisquamexchange.com/,,,,,,ChIJDa9l3jEk44kRFJaWMkeUh4Q,,,node/367777825,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.5,13
14,Jewish Community Center of the North Shore,"4 Community Rd, Marblehead, MA 01945, USA",Marblehead,MA,,01945,42.4848738,-70.8740539,(857) 285-7900,https://jccns.org/,,,,,,ChIJyyv4-sQU44kRgeL4k7vmeWE,,,node/367780739,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.5,119
15,South Shore Conservatory,"1 Conservatory Dr, Hingham, MA 02043, USA",Hingham,MA,,02043,42.2345861,-70.912625,(781) 749-7565,http://sscmusic.org/,,,,,,ChIJB5eo2uBj44kRtZg83Ng6EqU,,,node/371264157,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.7,15
16,Muse Paintbar,"264 Legacy Pl, Dedham, MA 02026, USA",Dedham,MA,,02026,42.2514288,-70.9226246,(888) 607-6873,https://www.musepaintbar.com/events/dedham-paint-bar?utm_source=GMB_listing&utm_medium=organic,,,,,,ChIJKez4G4l_44kR44DFcAUwGT8,,,node/940894155,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.6,135
17,Follow Your Art,"647 Main St 3rd floor, Melrose, MA 02176, USA",Melrose,MA,,02176,42.4535148,-71.0663871,(781) 665-4140,https://www.fyamelrose.org/,,,,,,ChIJD6-5d6Vz44kR87TTTva54vU,,,node/966211518,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.9,19
18,Lucy Parsons Center,"358 Centre St A, Jamaica Plain, MA 02130, USA",Boston,MA,,02130,42.3223304,-71.1075053,(617) 522-6098,https://www.lucyparsonscenter.org/,,,,,,ChIJP-VdthZ644kRVM7xFjAUHBE,,,node/1681795322,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.4,80
19,The PNI Club,"290 Millbury St, Worcester, MA 01610, USA",Worcester,MA,,01610,42.248648,-71.8016138,(774) 239-4034,,,,,,,ChIJ5VqPhXgG5IkRfvZ6E2Luauc,,,node/1832559863,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.1,120
20,East Coast Aero Club,"106 Access Rd, Norwood, MA 02062, USA",Norwood,MA,,02062,42.1865507,-71.1785786,(781) 278-8800,http://eastcoastaeroclub.com/,,,,,,ChIJqcvVCGOA5IkR-MGFAnuEi-c,,,node/2501965434,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,5,10
21,Lexington Arts and Crafts Society,"130 Waltham St, Lexington, MA 02421, USA",Lexington,MA,,02421,42.4452511,-71.2284785,(781) 862-9696,https://www.lexart.org/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16621475966505394301,,,,,,ChIJbwCGfs-d44kR7yoBMOzxWIE,,,node/3020090242,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,28
22,South Shore Conservatory,"64 St George St, Duxbury, MA 02332, USA",Duxbury,MA,,02332,42.0482717,-70.6750957,(781) 934-2731,http://www.sscmusic.org/,,,,,,ChIJC2EBKS6k5IkRVRoo5pm0Izc,,,node/3257661644,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,5,4
23,Windsor St. Health & Community Center,"119 Windsor St, Cambridge, MA 02139, USA",Cambridge,MA,,02139,42.3646976,-71.0966449,(617) 665-3600,https://www.challiance.org/locations/cambridge/cha-windsor-street-care-center,,,,,,ChIJtyFft6xw44kR7SZ8A-zP6ys,,,node/3350588744,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,2.9,70
24,The Phoenix Room,"19 Inn St, Newburyport, MA 01950, USA",Newburyport,MA,,01950,42.8106846,-70.8701937,(978) 270-9921,https://www.thephoenixroom.com/,,,,,,ChIJ7eQ1Fqjh4okRAPz97n9un4I,,,node/3350751994,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.7,9
25,Kids Club,"12 Mudge Way STE 1, Bedford, MA 01730, USA",Bedford,MA,,01730,42.4911921,-71.2824271,(781) 275-5427,https://www.bedfordma.gov/305/Kids-Club,,,,,,ChIJdafBM8ye44kRi-EtcNKRv2M,,,node/3482751021,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,5,6
26,Bedford Center for the Arts,"16 South Rd, Bedford, MA 01730, USA",Bedford,MA,,01730,42.4913091,-71.278784,(781) 276-0700,,,,,,,ChIJSbVp-86e44kRUc0B6Yvu2o8,,,node/3713592907,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,,
27,Lynn Memorial Auditorium,"3 City Hall Square, Lynn, MA 01901, USA",Lynn,MA,,01901,42.4648113,-70.9512465,(781) 599-7469,http://www.lynnauditorium.com/,,,,,,ChIJJyKO--Bs44kRqNTbdOKpa4M,,,node/3778287169,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.5,886
28,Origination,"3708 Washington St, Jamaica Plain, MA 02130, USA",Boston,MA,,02130,42.3003314,-71.1130771,(617) 522-3900,http://www.originationinc.org/,,,,,,ChIJfxKOQZ1bXEARsj6Pkzch2VY,,,node/4045929125,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,5,9
29,Blackstone Valley Boys & Girls Club,"115 Canal St, Blackstone, MA 01504, USA",Blackstone,MA,,01504,42.0157727,-71.5436812,(508) 928-7446,http://www.bvbgc.com/,,,,,,ChIJu79Narhr5IkRzhh42Sot3g8,,,node/4432835959,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.5,36
30,Stow Community Center,"4330 Kent Rd, Stow, OH 44224, USA",Stow,OH,,44224,42.43682,-71.5185977,,,,,,,,ChIJidrtgcklMYgRSG557iddlls,,,node/4535668789,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.3,2009
31,Alumni Hall,"410 Hale St, Beverly, MA 01915, USA",Beverly,MA,,01915,42.6123408,-70.8453797,(978) 922-9232,,,,,,,ChIJH1jCaG0W44kRMNv1LydfMy8,,,node/4741463026,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,5,1
32,Pierce Great Hall,"29 Oxford St, Cambridge, MA 02138, USA",Cambridge,MA,,02138,42.6126303,-70.8451974,,,,,,,,ChIJr0TeE0F344kRZVmq08_vZlk,,,node/4741463027,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4,1
33,The Steel Yard,"27 Sims Ave, Providence, RI 02909, USA",Providence,RI,,02909,41.8261597,-71.4339289,(401) 273-7101,http://www.thesteelyard.org/,,,,,,ChIJm3gsFqFF5IkR4uKIQaPx8zs,,,node/4818807096,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.7,143
34,Holliston Central Plaza,"1556 Washington St, Holliston, MA 01746, USA",Holliston,MA,,01746,42.1994768,-71.4295845,,http://www.hollistonvillage.com/,,,,,,ChIJnUDw5zlx5IkRrN9KwgW1BbI,,,node/4831811524,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.4,10
35,Harvard Film Archive,"24 Quincy St, Cambridge, MA 02138, USA",Cambridge,MA,,02138,42.3737039,-71.1142758,(617) 496-3211,https://harvardfilmarchive.org/,,,,,,ChIJSdTRhkR344kRk5BoCnrGv0Q,,,node/5360778410,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,58
36,Deborah Mason Performing Arts Center,"624 Somerville Ave, Somerville, MA 02143, USA",Somerville,MA,,02143,42.3838498,-71.1105902,(617) 616-5124,http://www.deborahmasonperformingartscenter.com/,,,,,,ChIJ5-70UwN344kRJlfPvttD3ww,,,node/6117072051,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,19
37,Warehouse XI,"11 Sanborn Ct, Somerville, MA 02143, USA",Somerville,MA,,02143,42.3801073,-71.0944706,(617) 448-8490,https://www.wxi.space/,,,,,,ChIJlbK9_spw44kR8zCGxylv7uw,,,node/6117499347,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.4,112
38,Bourne Veterans’ Memorial Community Building,"239 Main St, Buzzards Bay, MA 02532, USA",Bourne,MA,,02532,41.7497698,-70.6044391,(508) 759-0600,https://www.townofbourne.com/recreation,,,,,,ChIJAQBQGLrI5IkRJStz2TJW3y8,,,node/6169815685,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.7,35
39,Dirt Palace,"14 Olneyville Square, Providence, RI 02909, USA",Providence,RI,,02909,41.8166027,-71.4437203,(401) 654-7218,,,,,,,ChIJg95RQJBF5IkRzo6Tc51nudk,,,node/6551978414,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,5,1
40,South Shore Art Center,"119 Ripley Rd, Cohasset, MA 02025, USA",Cohasset,MA,,02025,42.2407157,-70.8037882,(781) 383-2787,http://www.ssac.org/,,,,,,ChIJG63Ta_pd44kRi1aW4lzJAm4,,,node/7043269456,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.5,2
41,The Salvation Army North Shore Community Center & Church,"93 North St, Salem, MA 01970, USA",Salem,MA,,01970,42.5258441,-70.9004692,(978) 744-5181,https://easternusa.salvationarmy.org/massachusetts/north-shore/,,,,,,ChIJv6ZHz3AU44kRFwnU2ZHRfVo,,,node/7086338964,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.6,42
42,The Makery Sewing Studio,"371 Gannett Rd, Scituate, MA 02066, USA",Scituate,MA,,02066,42.218887,-70.785326,(781) 378-0255,https://themakerysewing.com/,,,,,,ChIJ1c1rdm1e44kRBhJKVU4i3PQ,,,node/7144809524,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,6
43,Grafton Senior Center,"30 Providence Rd, Grafton, MA 01519, USA",Grafton,MA,,01519,42.209733,-71.6940039,(508) 839-9242,https://www.grafton-ma.gov/730/Council-on-Aging,,,,,,ChIJX9HlouoO5IkRUUXgZRkOjL8,,,node/7243365388,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.2,17
44,Dorchester Art Project,"1490 Dorchester Ave, Boston, MA 02122, USA",Boston,MA,,02122,42.299944,-71.0601353,(857) 400-8982,,,,,,,ChIJC9quZ6N744kRu8NFCQsp0jU,,,node/7395929153,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,65
45,Blackstone Community Center,"50 W Brookline St, Boston, MA 02118, USA",Boston,MA,,02118,42.3403747,-71.0731672,(617) 635-5163,https://www.boston.gov/departments/boston-centers-youth-families/bcyf-blackstone#program-signup,,,,,,ChIJ_bGAUWt644kR2j_5HYlWXOM,,,node/7603411490,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.4,97
46,Josephine A. Fiorentino Community Center,"123 Antwerp St, Brighton, MA 02135, USA",Boston,MA,,02135,42.3622287,-71.138335,(617) 699-2883,https://charlesviewcommunity.org/community-center/,,,,,,ChIJUR2AmNZ544kRhyki8pbDls0,,,node/7606370389,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,46
47,Grove Hall Community Center,"51 Geneva Ave, Boston, MA 02121, USA",Boston,MA,,02121,42.307681,-71.0809046,(617) 635-1484,https://www.boston.gov/departments/boston-centers-youth-families/bcyf-grove-hall-senior-center,,,,,,ChIJUTAF7MV744kRtbMlQjBmGHk,,,node/7633585155,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.7,33
48,Hopkinton Center for the Arts,"98 Hayden Rowe St, Hopkinton, MA 01748, USA",Hopkinton,MA,,01748,42.2171552,-71.517335,(508) 435-9222,http://www.hopartscenter.org/,,,,,,ChIJ3X_N7mZ05IkRebKzApW0bsA,,,node/7643043626,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,234
49,Maud Morgan Arts Center,"20 Sacramento St, Cambridge, MA 02138, USA",Cambridge,MA,,02138,42.3824003,-71.1177958,(617) 349-6287,http://www.maudmorganarts.org/,,,,,,ChIJfdwCdD9344kRzop8GIpN8rg,,,node/7650719948,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4,4
50,Boys & Girls Club of Boston: Orchard Garden Club,"2 Dearborn St, Roxbury, MA 02119, USA",Boston,MA,,02119,42.3299078,-71.0785999,(617) 516-5285,https://www.bgcb.org/find-your-club/orchard-gardens-club/,,,,,,ChIJJaVydzl644kRtqFpKEjCfSQ,,,node/7671197030,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4,4
51,Mildred Avenue Community Center,"5 Mildred Ave, Boston, MA 02126, USA",Boston,MA,,02126,42.2771377,-71.0904629,(617) 635-1328,https://www.boston.gov/departments/boston-centers-youth-families/bcyf-mildred-avenue,,,,,,ChIJP9okpgZ844kRcFsfz38ZqJI,,,node/7677893329,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.4,107
52,Lena Park Community Center,"150 American Legion Hwy, Dorchester, MA 02124, USA",Boston,MA,,02124,42.2950116,-71.0922683,(617) 533-8133,http://www.lenaparkcdc.org/,,,,,,ChIJCzK8veN744kR-oZvA5l_n4E,,,node/7678319615,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.4,68
53,Clay Dreams,"183 Massachusetts Ave, Arlington, MA 02474, USA",Arlington,MA,,02474,42.4057314,-71.1419376,(781) 641-3000,http://www.claydreams.com/,,,,,,ChIJQ2GsNP5244kRXk9Kf0KlO8k,,,node/7792043877,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.6,101
54,Inquilinos Boricuas en Acción Technology Center,"2 San Juan St, Boston, MA 02118, USA",Boston,MA,,02118,42.3420121,-71.073757,(617) 927-1707,http://www.ibaboston.org/,,,,,,ChIJ4wiNVGt644kRNzt62Tryvpw,,,node/7794978323,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.2,5
55,Community Music Center of Boston,"34 Warren Ave, Boston, MA 02116, USA",Boston,MA,,02116,42.3449241,-71.0714971,(617) 482-7494,http://www.cmcb.org/,,,,,,ChIJ35zOgnJ644kRMCCpHsdLepA,,,node/7857732388,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,3.9,11
56,Hill House,"127 Mt Vernon St, Boston, MA 02108, USA",Boston,MA,,02108,42.3578392,-71.0709104,(617) 227-5838,http://www.hillhouseboston.org/,,,,,,ChIJN6vJHp9w44kRC3Wcgl6IZVs,,,node/7899064203,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,3.6,14
57,Armenian Cultural and Educational Center,"47 Nichols Ave, Watertown, MA 02472, USA",Watertown,MA,,02472,42.3680305,-71.1583875,(617) 926-6067,http://acecwatertown.org/,,,,,,ChIJVYi_uyd444kR0o8A1Yn5E-4,,,node/8040900153,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.5,32
58,Quinebaug Valley Senior Center,"69 S Main St STE 4, Brooklyn, CT 06234, USA",Brooklyn,CT,,06234,41.7989886,-71.8980613,(860) 774-1243,,,,,,,ChIJ51PupdYr5IkRnOZ5FWLLQa4,,,node/8214408664,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,23
59,Trinity Repertory Company Lederer Theater Center,"201 Washington St, Providence, RI 02903, USA",Providence,RI,,02903,41.8221491,-71.4163356,(401) 351-4242,http://www.trinityrep.com/,,,,,,ChIJoTzP7RJF5IkRc1SIMPpAOpE,,,node/9001625266,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.7,831
60,Prescott School Community Center/Groton Visitor Center,"145 Main St, Groton, MA 01450, USA",Groton,MA,,01450,42.6070263,-71.5702108,(978) 877-6933,https://prescottscc.org/,,,,,,ChIJMwovAfW_44kRWiHjIrdYGtw,,,node/9077629344,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.9,22
61,VietAID,"42 Charles St, Boston, MA 02122, USA",Boston,MA,,02122,42.2999383,-71.0635631,(617) 822-3717,http://www.vietaid.org/,,,,,,ChIJy8Ojlrx744kRUbOs3LoS7Lg,,,node/9307158517,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.5,50
62,The Complex Performing and Creative Arts Centre,"135 Main Street, Putnam, CT 06260, USA",Putnam,CT,,06260,41.915868,-71.909357,(860) 963-7170,http://www.thecpac.org/,,,,,,ChIJjYJ5Zasn5IkR4Dk4bCTLe7o,,,node/9434774193,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.9,15
63,Harrington Performing Arts Center,"100 Institute Rd, Worcester, MA 01609, USA",Worcester,MA,,01609,42.3044474,-71.8145302,(508) 831-5000,http://www.wpi.edu/about/tour/harr.html,,,,,,ChIJB6fkn1gG5IkRxE5KZHrCHpM,,,node/9469237521,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.6,52
64,John D. O'Bryant African American Institute,"40 Leon St, Boston, MA 02115, USA",Boston,MA,,02115,42.3374744,-71.0911672,(617) 373-3143,https://jdoaai.sites.northeastern.edu/,,,,,,ChIJzQH5JyJ644kRTuQU_nKCm9I,,,node/9592584296,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.9,21
65,Overseas Student Service,"1110 Commonwealth Ave, Boston, MA 02215, USA",Boston,MA,,02215,42.3515476,-71.1247889,(508) 345-3764,https://www.overseasstudent.com/,,,,,,ChIJpQoLqrl544kRMJK-cyRmZlg,,,node/9664989581,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.3,6
66,Princeton Community Centre,"206 Worcester Rd, Princeton, MA 01541, USA",Princeton,MA,,01541,42.4214399,-71.8781336,,http://www.postofficeplace.com/,,,,,,ChIJz-tcY9T944kRVNwBK_AZxJM,,,node/9668104458,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.6,15
67,All Bright Community Center,"1287 Commonwealth Ave, Allston, MA 02134, USA",Boston,MA,,02134,42.3495058,-71.1335839,(617) 787-3874 ext. 201,https://allstonbrightoncdc.org/renting/all-bright-community-center/,,,,,,ChIJ9YCLmch544kRPBosnz8M5-c,,,node/9723942290,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.2,5
68,Boston Liberation Center,"194 Blue Hill Ave, Roxbury, MA 02119, USA",Boston,MA,,02119,42.3179567,-71.0777441,(617) 329-6204,https://www.instagram.com/bostonliberationcenter/,,,,,,ChIJVxStcIp744kRRSdHpxGl6L8,,,node/9733635047,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.7,39
69,Palestinian Cultural Center for Peace,"31 Quint Ave, Boston, MA 02134, USA",Boston,MA,,02134,42.35167,-71.1343704,,,,,,,,ChIJQeztQM9544kRynEBJIpE5kY,,,node/9733897110,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,5,4
70,The Hanover Theatre Conservatory for the Performing Arts,"2 Southbridge St, Worcester, MA 01608, USA",Worcester,MA,,01608,42.261039,-71.8031766,(877) 571-7469,http://www.thehanovertheatre.org/,,,,,,ChIJ6ZkNemQG5IkRs5lgyIbtwvk,,,node/10544475746,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.7,427
71,Multicultural Arts Center,"41 Second St, East Cambridge, MA 02141, USA",Cambridge,MA,,02141,42.3699661,-71.0789734,(617) 577-1400,http://www.multiculturalartscenter.org/,,,,,,ChIJj-QAA7xw44kRi3BFHyXuGRw,,,node/10617252173,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.7,136
72,Jean Levesque Community Life Center,"401 Bridge St, Salem, MA 01970, USA",Salem,MA,,01970,42.5203513,-70.9071248,(978) 744-0924,http://www.salem.com/council-aging,,,,,,ChIJT5BSWH8U44kRPPp8dQ3BB98,,,node/10743549976,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,58
73,Hough's Neck Community Center,"1193 Sea St, Quincy, MA 02169, USA",Quincy,MA,,02169,42.268845,-70.9526388,(617) 376-1385,http://www.houghsneck.org/,,,,,,ChIJcwsx6GJk44kRXdx_2FDXaNA,,,node/10894486594,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.2,9
74,Horgan Art Studio & Putnam Art Gallery,"200 Main St, Norwich, CT 06360, USA",Norwich,CT,,06360,42.9091915,-72.0629981,(860) 608-2661,http://www.facebook.com/pages/Gallery-at-the-Wauregan/223551224338501,,,,,,ChIJyVOOk2Fx5okRbz59ZnYU1qQ,,,node/10902370730,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.9,9
75,The Foundry,"101 Rogers St, Cambridge, MA 02142, USA",Cambridge,MA,,02142,42.3666151,-71.0827636,(857) 998-2063,https://cambridgefoundry.org/,,,,,,ChIJcWDId_lx44kRG6Xtzk2wzas,,,node/10904110346,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.7,76
76,Charlton Senior Center,"37 Main St, Charlton, MA 01507, USA",Charlton,MA,,01507,42.1339088,-71.9689492,(508) 248-2231,https://www.townofcharlton.net/297/Council-on-Aging-Senior-Center,,,,,,ChIJkwxj00Wn5okRkEO5PYbaArQ,,,node/11310437905,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.6,14
77,Arlington Center for the Arts,"20 Academy St, Arlington, MA 02474, USA",Arlington,MA,,02474,42.4151799,-71.1569753,(781) 648-6220,http://www.acarts.org/,,,,,,ChIJVVVVVVZ244kRzr1phblY3Mw,,,node/12005058814,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.9,9
78,Mystic Open Studio,"785 Massachusetts Ave, Arlington, MA 02476, USA",Arlington,MA,,02476,42.4166296,-71.1582366,(781) 315-1725,https://www.mysticopenstudio.com/,,,,,,ChIJnaGHbrF344kRlmsb2CiSzGA,,,node/12005733786,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,5,9
79,New Dawn Arts Center,"84 Main St, Ashburnham, MA 01430, USA",Ashburnham,MA,,01430,42.6366833,-71.9128851,,https://www.newdawnarts.org/,,,,,,ChIJu08NwO7h44kRFbkmUrJiTmk,,,node/12105252262,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,5
80,Espacio El Punto,"105 Congress St, Salem, MA 01970, USA",Salem,MA,,01970,42.5156482,-70.8891594,(978) 745-8071,http://northshorecdc.org/community/family-resource-center/espacio,,,,,,ChIJx9-tf2EU44kR0K5MChbLDIg,,,node/12105256770,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.6,20
81,Punto Urban Art Museum,"91-1 Peabody St, Salem, MA 01970, USA",Salem,MA,,01970,42.5182345,-70.8933311,(978) 745-8071,http://puntourbanartmuseum.org/,,,,,,ChIJkWLfG-wV44kRPFQdSFJBJig,,,node/12105307684,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,83
