id,name,address,city,state,country,postcode,lat,lng,phone,website,google_place_id,rating,user_ratings_total,osm_id,capacity_min,capacity_max,style,event_types,created_at,updated_at
15,30th Street Senior Center,"225 30th St 3rd floor, San Francisco, CA 94131, USA",San Francisco,CA,,94131,37.7420768,-122.4252109,(415) 550-2210,https://onlok.org/senior-center/,ChIJiYqACWh-j4ARlifwAsEvRE4,4.4,60,node/3641114652,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
16,City Forest Lodge,"536 W Green St, Ithaca, NY 14850, USA",Ithaca,NY,,14850,37.7495038,-122.4609259,(607) 272-9647,https://www.facebook.com/FCL180,ChIJWTtOhnaB0IkRrymqLBF6yF4,4.9,17,node/3646668101,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
17,San Francisco Women Artist Gallery,"647 Irving St, San Francisco, CA 94122, USA",San Francisco,CA,,94122,37.7639755,-122.4650079,(415) 566-8550,http://www.sfwomenartists.org/,ChIJvUWEmDOHhYARBEoXOwffpEM,4.7,32,node/3667881627,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
18,The Lab,"2948 16th St, San Francisco, CA 94103, USA",San Francisco,CA,,94103,37.7653404,-122.4184379,(415) 864-8855,http://www.thelab.org/,ChIJ8euhfyN-j4ARwSeIvFa9qxY,4.5,76,node/3672691124,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
19,arc gallery & studios,"1246 Folsom St, San Francisco, CA 94103, USA",San Francisco,CA,,94103,37.7745549,-122.4108899,,http://www.arc-sf.com/,ChIJCbLAJih-j4ART62wHcdVzxU,4.5,40,node/3789606760,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
20,Lions Center for the Blind,"175 Alvarado Ave, Pittsburg, CA 94565, USA",Pittsburg,CA,,94565,37.8069282,-122.269325,(925) 432-3013,http://lcvi.org/,ChIJS32VJ_9bhYAREz9hBOSraLY,4.5,30,node/3981344385,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
21,Oakland Asian Cultural Center,"388 9th St Suite 290, Oakland, CA 94607, USA",Oakland,CA,,94607,37.8006498,-122.2708699,(510) 637-0455,http://oacc.cc/,ChIJE5sbf7aAj4ARkVA94IA4-9g,4.4,194,node/3992959602,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
22,Eastside Cultural Center,"2289 International Blvd, Oakland, CA 94606, USA",Oakland,CA,,94606,37.7835103,-122.2363945,,https://www.eastsideartsalliance.org/,ChIJbe4OJeSGj4ARgSLWDYXqemQ,4.8,4,node/4020776243,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
23,San Francisco Children's Art Center,"2 Marina Blvd Building C, San Francisco, CA 94123, USA",San Francisco,CA,,94123,37.8068274,-122.4314295,(415) 771-0292,http://www.childrensartcenter.org/,ChIJzQPIbdiAhYARWIuvAdGmyFU,4.9,9,node/4022645779,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
24,Red Poppy Art House,"2698 Folsom St, San Francisco, CA 94110, USA",San Francisco,CA,,94110,37.7542,-122.414423,(650) 731-5383,http://redpoppyarthouse.org/,ChIJqUcWjEd-j4ARlUynJ3_yQrw,4.8,107,node/4173572889,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
25,Sentro Filipino,"814 Mission St, San Francisco, CA 94103, USA",San Francisco,CA,,94103,37.7843613,-122.4047434,(415) 988-3736,http://www.sentrofilipino.com/,ChIJAQCQT4aAhYARvu5AY5bJlKA,4.9,16,node/4194143070,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
26,Frank Bette Center for the Arts,"1601 Paru St, Alameda, CA 94501, USA",Alameda,CA,,94501,37.7736559,-122.2571098,(510) 523-6957,http://www.frankbettecenter.org/,ChIJsVd1Lc6Gj4AR_8ZHMluvros,4.5,28,node/4386449948,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
27,King's and Co.,"456 Montgomery Plaza, 456 Montgomery St STE 1450, San Francisco, CA 94104, USA",San Francisco,CA,,94104,37.79171,-122.400719,(415) 398-0823,,ChIJU4sjZ4qAhYARubfbjmfUebg,5,1,node/4632081523,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
28,The Faight Collective,"473A Haight St, San Francisco, CA 94117, USA",San Francisco,CA,,94117,37.7720643,-122.4299862,,https://www.thefaight.com/,ChIJX5ttFp-BhYARi4CElXrO5wg,4.7,38,node/5175561848,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
29,Sandpiper Community Center,"797 Redwood Shores Pkwy, Redwood City, CA 94065, USA",Redwood City,CA,,94065,37.5375647,-122.2358523,(650) 780-7323,https://www.redwoodcity.org/departments/parks-recreation-and-community-services/facilities/community-centers,ChIJv1X355OYj4ARQ_9SQSje60Y,4.8,26,node/5935224397,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
30,African American Art & Culture Complex,"762 Fulton St, San Francisco, CA 94102, USA",San Francisco,CA,,94102,37.7781952,-122.4292501,(415) 426-1100,http://www.aaacc.org/,ChIJAW_uUKOAhYAR7sB6TUroFi8,4.7,181,node/6381489728,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
31,Public Glass,"1750 Armstrong Ave, San Francisco, CA 94124, USA",San Francisco,CA,,94124,37.7279289,-122.3949454,(415) 671-4916,http://www.publicglass.org/,ChIJt06e9Bt_j4ARbaW9AZdPZGU,4.9,28,node/6466845883,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
32,The Mix,"4086 18th St, San Francisco, CA 94114, USA",San Francisco,CA,,94114,37.7790025,-122.4159638,(415) 431-8616,http://thesfmix.com/,ChIJ4zBWOht-j4ARCsEZhorB2oI,4.1,450,node/6604085465,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
33,San Francisco Center for the Book (SFCB),"375 Rhode Island St, San Francisco, CA 94103, USA",San Francisco,CA,,94103,37.7653718,-122.4024083,(415) 565-0545,https://sfcb.org/,ChIJ95TkKTN-j4ARjgP69VUAPSo,4.9,113,node/6690681482,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
34,Studio Gen,"404 Clement St, San Francisco, CA 94118, USA",San Francisco,CA,,94118,37.7851308,-122.4288795,(415) 221-7125,http://www.genesisdancesport.com/,ChIJqWM89juHhYARWhZmeWJELM4,4.7,19,node/6693595728,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
35,Peninsula Art Studio,"230 Broadway, Millbrae, CA 94030, USA",Millbrae,CA,,94030,37.6003092,-122.3908684,,,ChIJ1ZsMRaV3j4ARtwVu4H4ZC6Q,,,node/6797576627,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
36,Workshop SF,"1310 Haight St, San Francisco, CA 94117, USA",San Francisco,CA,,94117,37.7705086,-122.443909,(415) 926-8078,http://www.workshopsf.org/,ChIJb7Pg07OAhYARfUwY8mNY33E,4.8,45,node/6856410837,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
37,War Memorial Community Center,"6655 Mission St, Daly City, CA 94014, USA",Daly City,CA,,94014,37.7019488,-122.4625873,(650) 991-8020,http://www.dalycity.org/,ChIJnXqs-j18j4AR5CVIO3C0buA,4.4,107,node/8252704383,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
38,"Ute and William K. Bowes, Jr. Center for Performing Arts","200 Van Ness Ave, San Francisco, CA 94102, USA",San Francisco,CA,,94102,37.7775977,-122.419522,(415) 503-6206,https://sfcm.edu/,ChIJ13_0rAmBhYARGfcuybLgWUw,4.8,9,node/8707835784,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
39,CMAC Edge on the Square,"800 Grant Ave, San Francisco, CA 94108, USA",San Francisco,CA,,94108,37.7943644,-122.4062299,(628) 800-8980,https://www.edgeonthesquare.org/,ChIJ3ckd9pKBhYARtDlRo4oCTKw,4.6,11,node/9602225644,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
40,Shipshape Community Center,"850 Ave I, San Francisco, CA 94130, USA",San Francisco,CA,,94130,37.8272419,-122.368721,(415) 986-4810,https://www.onetreasureisland.org/,ChIJHz2aA82BhYARaoKAU1vOrok,4.6,39,node/9606331425,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
41,Kanbar Performing Arts Center,"44 Page St, San Francisco, CA 94102, USA",San Francisco,CA,,94102,37.7744725,-122.4216129,(415) 863-1752,http://www.sfgirlschorus.org/,ChIJLUB3A5-AhYARtXeOC5SH5gU,4.5,39,node/9657843869,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
42,The Commonwealth Club of California,"110 The Embarcadero, San Francisco, CA 94105, USA",San Francisco,CA,,94105,37.7932364,-122.392646,(415) 597-6700,http://www.commonwealthclub.org/,ChIJ75fLhWKAhYARDxivfRW3Vr4,4.4,125,node/9659886917,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
43,Stem & Art,,,,,,37.7777942,-122.424728,,,,,,node/9994033955,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
44,Chinese Culture Center,"750 Kearny St 3rd Floor, San Francisco, CA 94108, USA",San Francisco,CA,,94108,37.7951221,-122.404532,(415) 986-1822,http://www.cccsf.us/,ChIJOzt_KIuAhYAR_I5TT8nWjuM,4.5,50,node/10002564375,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
45,San Francisco Aquatic Park Senior Center,"890 Beach St, San Francisco, CA 94109, USA",San Francisco,CA,,94109,37.8064235,-122.4235004,(415) 775-1866,https://sequoialiving.org/senior-center/aquatic-park/?utm_source=gmb&utm_medium=organic&utm_content=gmb-website,ChIJGSO08eCAhYARZ2m4lRiiJ20,4.8,17,node/10002578646,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
46,Balay Kreative Studios,"863 Mission St, San Francisco, CA 94103, USA",San Francisco,CA,,94103,37.7829978,-122.405898,,https://balaykreative.com/,ChIJC2eaiqaBhYARe3pvQlayOtc,5,5,node/10017145718,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
47,Tranquil Resonance Studio,"1352 Mason St, San Francisco, CA 94133, USA",San Francisco,CA,,94133,37.7961565,-122.4115478,(415) 829-2234,http://tranquilresonance.com/contact/,ChIJEwLkY_KAhYARUHozPcBUgQ0,4,4,node/10153795519,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
48,SF Dharma Collective,"2929 24th St, San Francisco, CA 94110, USA",San Francisco,CA,,94110,37.7525976,-122.4106471,(415) 404-9333,https://sfdharmacollective.org/,ChIJ7coQm1h_j4ARclgcqFXR-XU,5,12,node/10628590731,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
49,Acción Latina,"2958 24th St, San Francisco, CA 94110, USA",San Francisco,CA,,94110,37.7527723,-122.4113221,(415) 648-1045,https://accionlatina.org/,ChIJAwQm80h-j4ARSRFjiIV4dOI,4.3,14,node/10653835784,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
50,Z Space,"450 Florida St, San Francisco, CA 94110, USA",San Francisco,CA,,94110,37.7634547,-122.4114369,(415) 626-0453,http://zspace.org/,ChIJ-1P3QTB-j4AR0xa3IQoS3Ms,4.5,132,node/10656516840,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
51,Museum of Children's Arts MOCHA,"1221 Broadway LL #49, Oakland, CA 94612, USA",Oakland,CA,,94612,37.8037013,-122.2724438,(510) 987-8556,http://mocha.org/,ChIJyVbt27GAj4ARBnLCZhTLscI,4.4,74,node/10795912693,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
52,826 Valencia Mission Bay,"1310 4th St, San Francisco, CA 94158, USA",San Francisco,CA,,94158,37.7716094,-122.3914486,(415) 642-5905,http://826valencia.org/,ChIJufeqaEJ_j4ARXJxt81rwONk,5,4,node/10806697931,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
53,Bluxome Center,"61 Bluxome St, San Francisco, CA 94107, USA",San Francisco,CA,,94107,37.7765841,-122.3969367,,,ChIJ-VH9c8N_j4AR5Atef_V6GZI,,,node/10917024145,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
54,Art Space on the Coast,"2021 Palmetto Ave, Pacifica, CA 94044, USA",Pacifica,CA,,94044,37.6335486,-122.491989,(650) 420-5389,https://artspaceonthecoast.com/,ChIJG4ESpm97j4ARo5BhiyvGPjg,5,15,node/11306444146,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
55,Bay Area Art School,"1305 Palmetto Ave Ste. F, Pacifica, CA 94044, USA",Pacifica,CA,,94044,37.6397368,-122.4920085,(650) 489-1661,https://bayareaartschool.com/,ChIJC7Yg-UN3j4ARAu4L99LzlrE,5,10,node/11306504398,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
56,Coastside Quilt Studio & Dana Miller Fiber Arts,"1305 Palmetto Ave ste e, Pacifica, CA 94044, USA",Pacifica,CA,,94044,37.6398266,-122.4920247,(650) 733-7200,http://www.coastsidequiltstudio.com/,ChIJtejw-lJ7j4ARZD_hVfnfZZk,5,9,node/11306504399,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
57,Aron Art Center,"Kapiolani Rd, Oakland, CA 94613, USA",Oakland,CA,,94613,37.7829379,-122.1814086,,,ChIJW7TAE4GHj4ARAEd4JI-Tm2A,,,node/11504296396,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
58,Clayroom,"375 9th St, San Francisco, CA 94103, USA",San Francisco,CA,,94103,37.7729832,-122.4103495,(415) 851-4846,http://www.clayroomsf.com/,ChIJseZzqgN_j4ARfHkAZCM2DcI,4.7,47,node/11558519652,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
59,YWCA San Francisco & Marin,"940 Powell St, San Francisco, CA 94108, USA",San Francisco,CA,,94108,37.7935514,-122.4090623,(415) 397-6886,,ChIJy0AQ24yAhYARimLi7sTCB64,3.8,6,node/11731045543,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
60,The Fuzzy Place,"1510 Encinal Ave, Alameda, CA 94501, USA",Alameda,CA,,94501,37.7747007,-122.4107456,(510) 769-1724,https://www.fuzzycaterpillarpreschool.com/,ChIJHQ_TRsyGj4AR0M5KKWghYH4,5,2,node/11777394307,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
61,Hālau Makana Polynesian Cultural Arts Center,"1122 Lincoln Ave, Alameda, CA 94501, USA",Alameda,CA,,94501,37.7747131,-122.2647574,(415) 652-2629,https://www.halaumakana.com/,ChIJfyq9L9OGj4ARQ3E6_v7O71w,5,3,node/12086640975,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
62,Girls Inc.,"1724 Santa Clara Ave, Alameda, CA 94501, USA",Alameda,CA,,94501,37.7709562,-122.2552935,(510) 521-1743,http://www.girlsincislandcity.org/,ChIJOW0UR8-Gj4ARqxICjKZB4JU,5,3,node/12100018495,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
63,The Commons,"550 Laguna St, San Francisco, CA 94102, USA",San Francisco,CA,,94102,37.7761417,-122.4260697,,http://thesfcommons.com/,ChIJKbrHhOSBhYAR5esdwgErqOw,5,44,node/12121537102,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
64,East Bay Queer Arts Center,"3411 Lakeshore Ave, Oakland, CA 94610, USA",Oakland,CA,,94610,37.8113496,-122.2429429,(510) 239-7197,http://queerartscenter.com/,ChIJZzZIJ-6Hj4ARd-_BEumfKvM,5,2,node/12638870090,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
65,Wang Qi Art Institute,"916 Clement St, San Francisco, CA 94118, USA",San Francisco,CA,,94118,37.7828611,-122.46915,(415) 645-3996,http://www.wangqiartinstitute.com/,ChIJg0Yhgj2HhYARLQ2zQ1smELQ,5,15,node/12790993497,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
66,Laurel Street Arts,"733 Laurel St, San Carlos, CA 94070, USA",San Carlos,CA,,94070,37.504982,-122.259091,(650) 591-1005,http://www.laurelstreetarts.com/,ChIJG9JUXRuij4ARPdz_ceZtqK0,4.9,30,node/12791012201,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
67,Eritrean Community Cultural Civic Center,"955 W Grand Ave, Oakland, CA 94607, USA",Oakland,CA,,94607,37.8145718,-122.2806567,(510) 652-1991,http://www.eccoakland.org/,ChIJ7WiUluB9hYARYU2iJKUjRFY,4.6,10,node/12876524915,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
68,La Raza Community Resource Center,"474 Valencia St # 100, San Francisco, CA 94103, USA",San Francisco,CA,,94103,37.7653881,-122.4224369,(415) 863-0764,https://www.larazacrc.org/,ChIJHwlQOCJ-j4ARfnPL1yj2mLY,3.8,25,node/12954274101,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
69,Clayroom,"1431 17th St, San Francisco, CA 94107, USA",San Francisco,CA,,94107,37.7649522,-122.3982378,(862) 343-0144,http://www.clayroomsf.com/,ChIJA-FRY8x_j4ARGQLEIocAYPg,4.8,59,node/13127292304,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
70,Decentered Arts Studio,"1175 Folsom St, San Francisco, CA 94103, USA",San Francisco,CA,,94103,37.7753379,-122.4092033,,https://decentered.org/,ChIJY7jp8tuBhYARdxswHzQ5Ds0,5,3,node/13207146235,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
71,Campus Center,"2000 Perimeter Rd, Los Altos Hills, CA 94022, USA",Los Altos Hills,CA,,94022,37.517101,-122.2848226,(650) 949-7282,,ChIJZ7HdQQCxj4ARE_G5UkKHvik,5,1,node/13247232534,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
72,Mighty Mighty Studio,"480 23rd St, Oakland, CA 94612, USA",Oakland,CA,,94612,37.812581,-122.2682956,(510) 260-7837,https://www.mightymightystudio.com/,ChIJGfVzW-uBj4ARf80hOo4wh1E,4.1,8,node/13334290394,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
